W_1,L_1,Pts_1,Opp_1,MOV_1,SOS_1,SRS_1,NRtg_1,W_2,L_2,Pts_2,Opp_2,MOV_2,SOS_2,SRS_2,NRtg_2,Score_dif
40,0,82.1,47.8,34.25,12.8,47.05,69.29,37,1,86.1,61.6,24.45,16.8,41.24,58.33,21
37,1,86.1,61.6,24.45,16.8,41.24,58.33,21,12,69.2,65.2,3.94,-6.96,-3.02,0.63,51
37,1,86.1,61.6,24.45,16.8,41.24,58.33,23,10,69.8,63.8,6.0,12.29,16.08,23.97,17
37,1,86.1,61.6,24.45,16.8,41.24,58.33,25,9,70.7,60.8,9.91,13.47,23.38,34.89,17
37,1,86.1,61.6,24.45,16.8,41.24,58.33,32,5,83.6,60.6,23.03,11.86,32.62,43.88,19
37,1,86.1,61.6,24.45,16.8,41.24,58.33,28,7,81.8,62.7,19.17,12.69,31.86,46.42,26
28,7,80.0,63.7,16.34,17.28,33.62,48.14,24,9,68.4,60.3,8.12,-6.87,1.25,7.55,42
32,5,83.6,60.6,23.03,11.86,32.62,43.88,24,9,73.1,64.3,8.76,-4.83,3.93,10.45,13
32,5,83.6,60.6,23.03,11.86,32.62,43.88,22,10,69.8,66.0,3.78,13.25,17.03,25.57,19
32,5,83.6,60.6,23.03,11.86,32.62,43.88,26,9,81.3,68.5,12.83,13.16,25.99,36.19,18
28,7,81.8,62.7,19.17,12.69,31.86,46.42,25,8,66.5,57.1,9.48,-3.34,3.07,9.39,38
28,7,81.8,62.7,19.17,12.69,31.86,46.42,22,12,69.7,60.0,9.68,14.53,24.21,36.9,5
28,7,81.8,62.7,19.17,12.69,31.86,46.42,29,6,77.9,62.9,14.97,14.71,29.69,43.44,11
28,7,81.8,62.7,19.17,12.69,31.86,46.42,33,5,78.9,59.3,19.58,11.35,30.93,45.15,3
33,4,76.7,60.2,16.57,14.55,31.12,45.72,19,14,75.2,70.3,4.88,0.48,0.61,4.03,19
33,4,76.7,60.2,16.57,14.55,31.12,45.72,21,12,69.3,63.8,5.55,12.99,18.54,27.99,19
33,4,76.7,60.2,16.57,14.55,31.12,45.72,24,8,75.1,66.9,8.16,12.59,20.75,30.99,25
33,4,76.7,60.2,16.57,14.55,31.12,45.72,27,10,78.8,65.5,13.32,13.28,26.61,38.31,9
33,5,78.9,59.3,19.58,11.35,30.93,45.15,25,9,72.9,57.2,15.74,-2.68,6.41,11.81,46
33,5,78.9,59.3,19.58,11.35,30.93,45.15,27,9,78.2,69.3,8.83,10.1,18.94,29.47,30
33,5,78.9,59.3,19.58,11.35,30.93,45.15,21,13,70.0,65.1,4.91,14.81,19.72,30.48,26
29,6,77.9,62.9,14.97,14.71,29.69,43.44,17,16,69.5,67.6,1.91,8.65,10.56,17.9,24
29,6,77.9,62.9,14.97,14.71,29.69,43.44,23,11,66.3,62.1,4.15,8.47,12.62,20.83,16
29,5,72.9,54.6,18.26,10.58,27.58,40.22,18,15,68.2,66.8,1.39,0.81,2.21,6.71,15
29,5,72.9,54.6,18.26,10.58,27.58,40.22,24,11,70.5,59.6,10.89,11.66,20.1,29.64,9
27,10,78.8,65.5,13.32,13.28,26.61,38.31,24,8,83.8,71.5,12.25,-4.97,7.28,13.43,2
27,10,78.8,65.5,13.32,13.28,26.61,38.31,23,10,73.3,63.8,9.55,11.19,20.74,31.64,9
27,10,78.8,65.5,13.32,13.28,26.61,38.31,29,5,72.9,54.6,18.26,10.58,27.58,40.22,7
30,5,73.7,59.0,14.77,11.67,26.44,39.77,28,5,71.5,55.3,16.18,-9.17,7.01,14.15,15
26,9,81.3,68.5,12.83,13.16,25.99,36.19,26,9,83.3,74.9,8.4,-1.88,4.12,9.15,46
26,9,81.3,68.5,12.83,13.16,25.99,36.19,23,10,72.6,63.5,9.06,12.48,21.54,32.85,5
27,9,70.6,59.6,10.97,13.3,24.27,35.63,22,10,69.3,60.1,9.13,-0.68,3.59,7.75,15
27,9,70.6,59.6,10.97,13.3,24.27,35.63,29,6,74.9,55.9,18.97,1.14,20.12,32.06,16
27,9,70.6,59.6,10.97,13.3,24.27,35.63,29,7,83.5,71.6,11.92,7.53,19.45,29.14,19
22,12,69.7,60.0,9.68,14.53,24.21,36.9,22,7,65.0,56.7,8.34,-1.16,7.19,14.42,18
25,9,70.7,60.8,9.91,13.47,23.38,34.89,26,8,70.1,59.5,10.56,-1.41,9.15,16.86,1
25,9,70.7,60.8,9.91,13.47,23.38,34.89,22,9,74.6,68.0,6.61,13.05,19.66,30.63,7
23,10,72.6,63.5,9.06,12.48,21.54,32.85,29,4,69.8,56.2,13.52,-5.75,7.77,16.45,6
26,7,75.6,63.4,12.21,9.25,21.46,33.36,22,11,70.1,61.4,8.76,0.98,5.27,8.76,19
24,8,75.1,66.9,8.16,12.59,20.75,30.99,26,7,71.1,57.3,13.76,-4.39,9.37,17.93,6
24,8,75.1,66.9,8.16,12.59,20.75,30.99,20,13,74.9,70.5,4.42,10.65,15.08,23.14,22
23,10,73.3,63.8,9.55,11.19,20.74,31.64,28,5,70.8,54.2,16.58,-6.47,7.23,13.22,30
29,6,74.9,55.9,18.97,1.14,20.12,32.06,29,5,75.1,53.6,21.47,5.68,24.54,29.57,9
24,11,70.5,59.6,10.89,11.66,20.1,29.64,29,5,66.7,55.2,11.5,3.81,15.31,25.41,19
21,13,70.0,65.1,4.91,14.81,19.72,30.48,20,12,79.7,69.8,9.81,11.37,19.34,27.99,20
21,13,70.0,65.1,4.91,14.81,19.72,30.48,30,5,73.7,59.0,14.77,11.67,26.44,39.77,9
